correct 	math 	2.8secs 	3 ^ 0 	What is 3 ^ 0? 	== 	1 	RunAve=runAve math: 1/1 100% 2.8secs 	Sun Jan 17 2021 14:12:17 GMT-0600 (Central Standard Time)
correct 	math 	2.4secs 	99 / 11 	What is 99 / 11? 	== 	9 	RunAve=runAve math: 20/22 90% 2.6secs 	Sun Jan 17 2021 14:29:14 GMT-0600 (Central Standard Time)
correct 	math 	1.7secs 	1 * 1 	What is 1 * 1? 	== 	1 	RunAve=runAve math: 21/23 91% 2.6secs 	Sun Jan 17 2021 14:29:33 GMT-0600 (Central Standard Time)
correct 	math 	1.0secs 	1 * 10 	What is 1 * 10? 	== 	10 	RunAve=runAve math: 22/24 91% 2.5secs 	Sun Jan 17 2021 14:29:53 GMT-0600 (Central Standard Time)
correct 	math 	2.6secs 	24 / 2 	What is 24 / 2? 	== 	12 	RunAve=runAve math: 23/25 92% 2.5secs 	Sun Jan 17 2021 14:30:14 GMT-0600 (Central Standard Time)
correct 	math 	1.6secs 	12 * 1 	What is 12 * 1? 	== 	12 	RunAve=runAve math: 23/25 92% 2.5secs 	Sun Jan 17 2021 14:30:33 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	thirst:1 	t_____ 	== 	_hirst 	RunAve=runAve spelling: 17/17 100% 2.5secs 	Sun Jan 17 2021 14:30:54 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	felon:1 	f____ 	== 	_elon 	RunAve=runAve spelling: 18/18 100% 2.6secs 	Sun Jan 17 2021 14:31:14 GMT-0600 (Central Standard Time)
correct 	math 	1.0secs 	9 * 2 	What is 9 * 2? 	== 	18 	RunAve=runAve math: 23/25 92% 2.4secs 	Sun Jan 17 2021 14:31:33 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	basic:1 	b____ 	== 	_asic 	RunAve=runAve spelling: 19/19 100% 2.5secs 	Sun Jan 17 2021 14:31:54 GMT-0600 (Central Standard Time)
correct 	spelling 	4.8secs 	activity:1 	a_______ 	== 	_ctivity 	RunAve=runAve spelling: 20/20 100% 2.6secs 	Sun Jan 17 2021 14:32:17 GMT-0600 (Central Standard Time)
correct 	math 	3.0secs 	3 ^ 1 	What is 3 ^ 1? 	== 	3 	RunAve=runAve math: 23/25 92% 2.4secs 	Sun Jan 17 2021 14:32:35 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	malt:1 	m___ 	== 	_alt 	RunAve=runAve spelling: 21/21 100% 2.6secs 	Sun Jan 17 2021 14:33:14 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	escapade:1 	e_______ 	== 	_scapade 	RunAve=runAve spelling: 22/22 100% 2.6secs 	Sun Jan 17 2021 14:33:35 GMT-0600 (Central Standard Time)
wrong 	spelling 	2.6secs 	band:1 	b___ 	!= 	_ond 	RunAve=runAve spelling: 22/23 95% 2.6secs 	Sun Jan 17 2021 14:33:54 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	band:3 	ban_ 	== 	___d 	RunAve=runAve spelling: 23/24 95% 2.6secs 	Sun Jan 17 2021 14:34:13 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	band:2 	ba__ 	== 	__nd 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sun Jan 17 2021 14:34:33 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	band:1 	b___ 	== 	_and 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sun Jan 17 2021 14:34:55 GMT-0600 (Central Standard Time)
correct 	spelling 	4.1secs 	an:1 	a_ 	== 	_n 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sun Jan 17 2021 14:35:16 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	clam:1 	c___ 	== 	_lam 	RunAve=runAve spelling: 1/1 100% 1.8secs 	Sun Jan 17 2021 14:38:59 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	lint:1 	l___ 	== 	_int 	RunAve=runAve spelling: 2/2 100% 1.7secs 	Sun Jan 17 2021 14:39:18 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	18 / 9 	What is 18 / 9? 	== 	2 	RunAve=runAve math: 1/1 100% 1.9secs 	Sun Jan 17 2021 14:39:39 GMT-0600 (Central Standard Time)
correct 	spelling 	3.2secs 	shudder:1 	s______ 	== 	_hudder 	RunAve=runAve spelling: 3/3 100% 2.2secs 	Sun Jan 17 2021 14:40:00 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	0 * 4 	What is 0 * 4? 	== 	0 	RunAve=runAve math: 2/2 100% 1.7secs 	Sun Jan 17 2021 14:40:38 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	epic:1 	e___ 	== 	_pic 	RunAve=runAve spelling: 4/4 100% 2.2secs 	Sun Jan 17 2021 14:41:39 GMT-0600 (Central Standard Time)
correct 	spelling 	7.9secs 	discreet:5 	discr___ 	== 	_____eet 	RunAve=runAve spelling: 5/5 100% 3.4secs 	Sun Jan 17 2021 14:42:05 GMT-0600 (Central Standard Time)
correct 	math 	3.7secs 	12 * -9 	What is 12 * -9? 	== 	-108 	RunAve=runAve math: 3/3 100% 2.4secs 	Sun Jan 17 2021 14:42:21 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	thrown:1 	t_____ 	== 	_hrown 	RunAve=runAve spelling: 6/6 100% 3.1secs 	Sun Jan 17 2021 14:42:39 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	late:1 	l___ 	== 	_ate 	RunAve=runAve spelling: 7/7 100% 2.9secs 	Sun Jan 17 2021 14:42:59 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	downtown:1 	d_______ 	== 	_owntown 	RunAve=runAve spelling: 8/8 100% 2.8secs 	Sun Jan 17 2021 14:43:19 GMT-0600 (Central Standard Time)
correct 	math 	1.1secs 	6 * 5 	What is 6 * 5? 	== 	30 	RunAve=runAve math: 4/4 100% 2.0secs 	Sun Jan 17 2021 14:43:38 GMT-0600 (Central Standard Time)
correct 	math 	2.3secs 	-4 * 11 	What is -4 * 11? 	== 	-44 	RunAve=runAve math: 5/5 100% 2.1secs 	Sun Jan 17 2021 14:44:19 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	clap:1 	c___ 	== 	_lap 	RunAve=runAve spelling: 9/9 100% 2.7secs 	Sun Jan 17 2021 14:44:39 GMT-0600 (Central Standard Time)
correct 	math 	1.3secs 	4 * 1 	What is 4 * 1? 	== 	4 	RunAve=runAve math: 6/6 100% 2.0secs 	Sun Jan 17 2021 14:44:58 GMT-0600 (Central Standard Time)
correct 	math 	3.9secs 	-5 ^ 1 	What is -5 ^ 1? 	== 	-5 	RunAve=runAve math: 7/7 100% 2.2secs 	Sun Jan 17 2021 14:45:21 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	empty:2 	em___ 	== 	__pty 	RunAve=runAve spelling: 10/10 100% 2.6secs 	Sun Jan 17 2021 14:45:38 GMT-0600 (Central Standard Time)
wrong 	math 	3.5secs 	48 / 8 	What is 48 / 8? 	!= 	8 	RunAve=runAve math: 7/8 87% 2.4secs 	Sun Jan 17 2021 14:46:00 GMT-0600 (Central Standard Time)
correct 	math 	4.2secs 	8 * 6 	What is 8 * 6? 	== 	48 	RunAve=runAve math: 8/9 88% 2.6secs 	Sun Jan 17 2021 14:46:21 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	6 * 8 	What is 6 * 8? 	== 	48 	RunAve=runAve math: 9/10 90% 2.5secs 	Sun Jan 17 2021 14:46:39 GMT-0600 (Central Standard Time)
correct 	math 	3.5secs 	48 / 8 	What is 48 / 8? 	== 	6 	RunAve=runAve math: 10/11 90% 2.6secs 	Sun Jan 17 2021 14:47:01 GMT-0600 (Central Standard Time)
correct 	math 	4.7secs 	48 / 6 	What is 48 / 6? 	== 	8 	RunAve=runAve math: 11/12 91% 2.8secs 	Sun Jan 17 2021 14:47:22 GMT-0600 (Central Standard Time)
wrong 	math 	20.9secs 	32 / 4 	What is 32 / 4? 	!= 	6 	RunAve=runAve math: 11/13 84% 4.2secs 	Sun Jan 17 2021 14:47:58 GMT-0600 (Central Standard Time)
correct 	math 	3.9secs 	4 * 8 	What is 4 * 8? 	== 	32 	RunAve=runAve math: 12/14 85% 4.2secs 	Sun Jan 17 2021 14:48:21 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	8 * 4 	What is 8 * 4? 	== 	32 	RunAve=runAve math: 13/15 86% 4.0secs 	Sun Jan 17 2021 14:48:39 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	32 / 4 	What is 32 / 4? 	== 	8 	RunAve=runAve math: 14/16 87% 3.9secs 	Sun Jan 17 2021 14:48:59 GMT-0600 (Central Standard Time)
correct 	math 	3.8secs 	32 / 8 	What is 32 / 8? 	== 	4 	RunAve=runAve math: 15/17 88% 3.9secs 	Sun Jan 17 2021 14:49:21 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	banana:1 	b_____ 	== 	_anana 	RunAve=runAve spelling: 11/11 100% 2.5secs 	Sun Jan 17 2021 14:49:39 GMT-0600 (Central Standard Time)
correct 	spelling 	4.1secs 	thrown:1 	t_____ 	== 	_hrown 	RunAve=runAve spelling: 12/12 100% 2.7secs 	Sun Jan 17 2021 14:50:01 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	reach:1 	r____ 	== 	_each 	RunAve=runAve spelling: 13/13 100% 2.6secs 	Sun Jan 17 2021 14:50:19 GMT-0600 (Central Standard Time)
correct 	spelling 	3.6secs 	curb:1 	c___ 	== 	_urb 	RunAve=runAve spelling: 14/14 100% 2.6secs 	Sun Jan 17 2021 14:50:41 GMT-0600 (Central Standard Time)
correct 	spelling 	1.3secs 	malt:1 	m___ 	== 	_alt 	RunAve=runAve spelling: 15/15 100% 2.5secs 	Sun Jan 17 2021 14:50:58 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	filbert:3 	fil____ 	== 	___bert 	RunAve=runAve spelling: 16/16 100% 2.6secs 	Sun Jan 17 2021 14:51:40 GMT-0600 (Central Standard Time)
correct 	math 	3.5secs 	12 ^ 2 	What is 12 ^ 2? 	== 	144 	RunAve=runAve math: 16/18 88% 3.9secs 	Sun Jan 17 2021 14:52:01 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	erect:1 	e____ 	== 	_rect 	RunAve=runAve spelling: 17/17 100% 2.6secs 	Sun Jan 17 2021 14:52:19 GMT-0600 (Central Standard Time)
wrong 	spelling 	1.6secs 	sung:1 	s___ 	!= 	_ngg 	RunAve=runAve spelling: 17/18 94% 2.5secs 	Sun Jan 17 2021 14:52:59 GMT-0600 (Central Standard Time)
correct 	spelling 	1.0secs 	sung:3 	sun_ 	== 	___g 	RunAve=runAve spelling: 18/19 94% 2.4secs 	Sun Jan 17 2021 14:53:18 GMT-0600 (Central Standard Time)
correct 	spelling 	8.4secs 	sung:2 	su__ 	== 	__ng 	RunAve=runAve spelling: 19/20 95% 2.7secs 	Sun Jan 17 2021 14:53:46 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	sung:1 	s___ 	== 	_ung 	RunAve=runAve spelling: 20/21 95% 2.7secs 	Sun Jan 17 2021 14:54:00 GMT-0600 (Central Standard Time)
correct 	spelling 	3.3secs 	hung:1 	h___ 	== 	_ung 	RunAve=runAve spelling: 21/22 95% 2.7secs 	Sun Jan 17 2021 14:54:21 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	stung:1 	s____ 	== 	_tung 	RunAve=runAve spelling: 22/23 95% 2.7secs 	Sun Jan 17 2021 14:54:39 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	lung:1 	l___ 	== 	_ung 	RunAve=runAve spelling: 23/24 95% 2.6secs 	Sun Jan 17 2021 14:54:59 GMT-0600 (Central Standard Time)
correct 	spelling 	0.2secs 	rug:1 	r__ 	== 	_ug 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sun Jan 17 2021 14:55:18 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	err:1 	e__ 	== 	_rr 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sun Jan 17 2021 14:55:40 GMT-0600 (Central Standard Time)
correct 	spelling 	12.3secs 	sultry:1 	s_____ 	== 	_ultry 	RunAve=runAve spelling: 24/25 96% 3.0secs 	Sun Jan 17 2021 14:56:10 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	clean:1 	c____ 	== 	_lean 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sun Jan 17 2021 14:56:19 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	2 * 1 	What is 2 * 1? 	== 	2 	RunAve=runAve math: 17/19 89% 3.8secs 	Sun Jan 17 2021 14:56:39 GMT-0600 (Central Standard Time)
wrong 	math 	7.2secs 	63 / 9 	What is 63 / 9? 	!= 	6 	RunAve=runAve math: 17/20 85% 3.9secs 	Sun Jan 17 2021 14:57:05 GMT-0600 (Central Standard Time)
wrong 	math 	0.3secs 	9 * 7 	What is 9 * 7? 	!= 	54 	RunAve=runAve math: 17/21 80% 3.8secs 	Sun Jan 17 2021 14:57:18 GMT-0600 (Central Standard Time)
correct 	math 	2.7secs 	9 * 7 	What is 9 * 7? 	== 	63 	RunAve=runAve math: 18/22 81% 3.7secs 	Sun Jan 17 2021 14:57:40 GMT-0600 (Central Standard Time)
correct 	math 	3.1secs 	7 * 9 	What is 7 * 9? 	== 	63 	RunAve=runAve math: 19/23 82% 3.7secs 	Sun Jan 17 2021 14:58:01 GMT-0600 (Central Standard Time)
correct 	math 	1.7secs 	63 / 9 	What is 63 / 9? 	== 	7 	RunAve=runAve math: 20/24 83% 3.6secs 	Sun Jan 17 2021 14:58:19 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	63 / 7 	What is 63 / 7? 	== 	9 	RunAve=runAve math: 21/25 84% 3.5secs 	Sun Jan 17 2021 14:58:39 GMT-0600 (Central Standard Time)
correct 	math 	2.2secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math: 21/25 84% 3.5secs 	Sun Jan 17 2021 14:59:00 GMT-0600 (Central Standard Time)
correct 	spelling 	1.1secs 	and:1 	a__ 	== 	_nd 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sun Jan 17 2021 14:59:19 GMT-0600 (Central Standard Time)
correct 	math 	0.4secs 	3 ^ 1 	What is 3 ^ 1? 	== 	3 	RunAve=runAve math: 21/25 84% 3.5secs 	Sun Jan 17 2021 14:59:38 GMT-0600 (Central Standard Time)
correct 	math 	2.5secs 	2 ^ 1 	What is 2 ^ 1? 	== 	2 	RunAve=runAve math: 21/25 84% 3.4secs 	Sun Jan 17 2021 15:00:00 GMT-0600 (Central Standard Time)
correct 	math 	3.9secs 	0 / -4 	What is 0 / -4? 	== 	0 	RunAve=runAve math: 21/25 84% 3.5secs 	Sun Jan 17 2021 15:00:21 GMT-0600 (Central Standard Time)
correct 	math 	1.2secs 	0 * 9 	What is 0 * 9? 	== 	0 	RunAve=runAve math: 21/25 84% 3.5secs 	Sun Jan 17 2021 15:00:39 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	namesake:4 	name____ 	== 	____sake 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sun Jan 17 2021 15:00:59 GMT-0600 (Central Standard Time)
correct 	math 	0.6secs 	-11 / 11 	What is -11 / 11? 	== 	-1 	RunAve=runAve math: 21/25 84% 3.5secs 	Sun Jan 17 2021 15:01:18 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	colander:5 	colan___ 	== 	_____der 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sun Jan 17 2021 15:01:39 GMT-0600 (Central Standard Time)
wrong 	spelling 	2.7secs 	infinite:1 	i_______ 	!= 	_fiinite 	RunAve=runAve spelling: 23/25 92% 2.7secs 	Sun Jan 17 2021 15:02:00 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	infinite:7 	infinit_ 	== 	_______e 	RunAve=runAve spelling: 23/25 92% 2.6secs 	Sun Jan 17 2021 15:02:19 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	infinite:6 	infini__ 	== 	______te 	RunAve=runAve spelling: 23/25 92% 2.6secs 	Sun Jan 17 2021 15:02:39 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	infinite:5 	infin___ 	== 	_____ite 	RunAve=runAve spelling: 23/25 92% 2.6secs 	Sun Jan 17 2021 15:03:00 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	infinite:4 	infi____ 	== 	____nite 	RunAve=runAve spelling: 23/25 92% 2.7secs 	Sun Jan 17 2021 15:03:20 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	infinite:3 	inf_____ 	== 	___inite 	RunAve=runAve spelling: 23/25 92% 2.6secs 	Sun Jan 17 2021 15:03:39 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	infinite:2 	in______ 	== 	__finite 	RunAve=runAve spelling: 23/25 92% 2.6secs 	Sun Jan 17 2021 15:04:00 GMT-0600 (Central Standard Time)
correct 	spelling 	4.2secs 	infinite:1 	i_______ 	== 	_nfinite 	RunAve=runAve spelling: 23/25 92% 2.6secs 	Sun Jan 17 2021 15:04:22 GMT-0600 (Central Standard Time)
correct 	spelling 	3.9secs 	intimate:1 	i_______ 	== 	_ntimate 	RunAve=runAve spelling: 23/25 92% 2.7secs 	Sun Jan 17 2021 15:04:42 GMT-0600 (Central Standard Time)
correct 	spelling 	3.5secs 	stung:2 	st___ 	== 	__ung 	RunAve=runAve spelling: 23/25 92% 2.7secs 	Sun Jan 17 2021 15:05:01 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	feed:1 	f___ 	== 	_eed 	RunAve=runAve spelling: 23/25 92% 2.7secs 	Sun Jan 17 2021 15:05:20 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	hilt:1 	h___ 	== 	_ilt 	RunAve=runAve spelling: 24/25 96% 2.8secs 	Sun Jan 17 2021 15:05:41 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	think:1 	t____ 	== 	_hink 	RunAve=runAve spelling: 24/25 96% 2.8secs 	Sun Jan 17 2021 15:06:00 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	sleeve:2 	sl____ 	== 	__eeve 	RunAve=runAve spelling: 24/25 96% 2.6secs 	Sun Jan 17 2021 15:06:20 GMT-0600 (Central Standard Time)
correct 	math 	9.3secs 	4 ^ 2 	What is 4 ^ 2? 	== 	16 	RunAve=runAve math: 21/25 84% 3.7secs 	Sun Jan 17 2021 15:07:07 GMT-0600 (Central Standard Time)
correct 	spelling 	8.9secs 	stamp:1 	s____ 	== 	_tamp 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sun Jan 17 2021 15:07:26 GMT-0600 (Central Standard Time)
wrong 	math 	0.3secs 	2 * 4 	What is 2 * 4? 	!= 	16 	RunAve=runAve math: 21/25 84% 3.6secs 	Sun Jan 17 2021 15:07:38 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	2 * 2 	What is 2 * 2? 	== 	4 	RunAve=runAve math: 21/25 84% 3.5secs 	Sun Jan 17 2021 15:07:59 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	2 * 3 	What is 2 * 3? 	== 	6 	RunAve=runAve math: 21/25 84% 3.4secs 	Sun Jan 17 2021 15:08:19 GMT-0600 (Central Standard Time)
correct 	math 	1.2secs 	2 * 4 	What is 2 * 4? 	== 	8 	RunAve=runAve math: 21/25 84% 3.3secs 	Sun Jan 17 2021 15:08:39 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	token:1 	t____ 	== 	_oken 	RunAve=runAve spelling: 24/25 96% 2.8secs 	Sun Jan 17 2021 15:08:59 GMT-0600 (Central Standard Time)
correct 	math 	1.3secs 	2 * 9 	What is 2 * 9? 	== 	18 	RunAve=runAve math: 21/25 84% 3.2secs 	Sun Jan 17 2021 15:09:39 GMT-0600 (Central Standard Time)
correct 	math 	5.9secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math: 22/25 88% 2.6secs 	Sun Jan 17 2021 15:10:03 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	blemish:1 	b______ 	== 	_lemish 	RunAve=runAve spelling: 24/25 96% 2.8secs 	Sun Jan 17 2021 15:10:19 GMT-0600 (Central Standard Time)
