correct 	2.6secs 	What is 11 * 2? 	== 	22 	RunAve=runAve: 1/1 100% 	Sat Jan 09 2021 18:49:24 GMT-0600 (Central Standard Time)
correct 	8.0secs 	What is 9 * 0? 	== 	0 	RunAve=runAve: 5/7 71% 	Sat Jan 09 2021 21:37:30 GMT-0600 (Central Standard Time)
correct 	4.6secs 	What is 6 * 8? 	== 	48 	RunAve=runAve: 5/6 83% 	Sat Jan 09 2021 21:37:47 GMT-0600 (Central Standard Time)
correct 	18.2secs 	What is 12 * 11? 	== 	132 	RunAve=runAve: 5/5 100% 	Sat Jan 09 2021 21:38:20 GMT-0600 (Central Standard Time)
wrong 	0.8secs 	What is 3 - 10? 	!= 	-6 	RunAve=runAve: 3/4 75% 	Sat Jan 09 2021 21:38:23 GMT-0600 (Central Standard Time)
correct 	15.0secs 	What is 3 - 8? 	== 	-5 	RunAve=runAve: 2/3 66% 	Sat Jan 09 2021 21:38:57 GMT-0600 (Central Standard Time)
correct 	3.3secs 	What is 3 - 9? 	== 	-6 	RunAve=runAve: 2/2 100% 	Sat Jan 09 2021 21:39:06 GMT-0600 (Central Standard Time)
correct 	8.1secs 	What is 3 - 10? 	== 	-7 	RunAve=runAve: 1/1 100% 	Sat Jan 09 2021 21:39:30 GMT-0600 (Central Standard Time)
correct 	5.9secs 	What is -12 * 6? 	== 	-72 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:39:48 GMT-0600 (Central Standard Time)
correct 	5.2secs 	What is -66 / 11? 	== 	-6 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:40:08 GMT-0600 (Central Standard Time)
correct 	3.4secs 	What is 144 / 12? 	== 	12 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:40:26 GMT-0600 (Central Standard Time)
correct 	3.9secs 	What is 1 + 11? 	== 	12 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:40:46 GMT-0600 (Central Standard Time)
correct 	10.6secs 	What is 6 * 4? 	== 	24 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:41:13 GMT-0600 (Central Standard Time)
correct 	12.4secs 	What is -9 * 4? 	== 	-36 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:41:35 GMT-0600 (Central Standard Time)
correct 	29.7secs 	What is -9 * 7? 	== 	-63 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:42:12 GMT-0600 (Central Standard Time)
correct 	24.8secs 	What is 4 * -6? 	== 	-24 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:42:42 GMT-0600 (Central Standard Time)
wrong 	1.1secs 	What is -3 / -3? 	!= 	0 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:42:58 GMT-0600 (Central Standard Time)
correct 	2.9secs 	What is -3 * 1? 	== 	-3 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:43:20 GMT-0600 (Central Standard Time)
correct 	2.8secs 	What is 1 * -3? 	== 	-3 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:43:40 GMT-0600 (Central Standard Time)
wrong 	9.9secs 	What is -3 / -3? 	!= 	-1 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:44:07 GMT-0600 (Central Standard Time)
correct 	5.7secs 	What is -3 / 1? 	== 	-3 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:44:23 GMT-0600 (Central Standard Time)
correct 	1.1secs 	What is -3 * 1? 	== 	-3 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:44:38 GMT-0600 (Central Standard Time)
correct 	3.2secs 	What is 1 * -3? 	== 	-3 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:45:01 GMT-0600 (Central Standard Time)
wrong 	4.4secs 	What is -3 / -3? 	!= 	3 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:45:22 GMT-0600 (Central Standard Time)
correct 	7.7secs 	What is -3 / 1? 	== 	-3 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:45:45 GMT-0600 (Central Standard Time)
correct 	9.3secs 	What is -3 * 1? 	== 	-3 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:46:07 GMT-0600 (Central Standard Time)
correct 	3.6secs 	What is 1 * -3? 	== 	-3 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:46:21 GMT-0600 (Central Standard Time)
wrong 	30.7secs 	What is -3 / -3? 	!= 	3 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:47:08 GMT-0600 (Central Standard Time)
correct 	8.4secs 	What is -3 * 1? 	== 	-3 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:47:26 GMT-0600 (Central Standard Time)
correct 	4.1secs 	What is 1 * -3? 	== 	-3 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:47:42 GMT-0600 (Central Standard Time)
wrong 	22.2secs 	What is -3 / -3? 	!= 	0 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:48:20 GMT-0600 (Central Standard Time)
correct 	3.7secs 	What is -3 * 1? 	== 	-3 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:48:41 GMT-0600 (Central Standard Time)
correct 	4.0secs 	What is 1 * -3? 	== 	-3 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:49:02 GMT-0600 (Central Standard Time)
correct 	16.7secs 	What is -3 / -3? 	== 	1 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:49:34 GMT-0600 (Central Standard Time)
correct 	9.7secs 	What is -3 / 1? 	== 	-3 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:49:47 GMT-0600 (Central Standard Time)
correct 	3.0secs 	What is 2 + 10? 	== 	12 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:50:01 GMT-0600 (Central Standard Time)
correct 	6.4secs 	What is 4 + 6? 	== 	10 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:50:24 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 11 * 0? 	== 	0 	RunAve=runAve: 1/1 100% 	Mon Jan 11 2021 09:00:38 GMT-0600 (Central Standard Time)
correct 	2.0secs 	What is 6 * 11? 	== 	66 	RunAve=runAve: 2/2 100% 	Mon Jan 11 2021 09:01:38 GMT-0600 (Central Standard Time)
correct 	9.0secs 	What is 3 - 11? 	== 	-8 	RunAve=runAve: 3/3 100% 	Mon Jan 11 2021 09:02:05 GMT-0600 (Central Standard Time)
correct 	3.1secs 	What is 10 + 7? 	== 	17 	RunAve=runAve: 4/4 100% 	Mon Jan 11 2021 09:02:19 GMT-0600 (Central Standard Time)
correct 	6.8secs 	What is 11 + 6? 	== 	17 	RunAve=runAve: 5/5 100% 	Mon Jan 11 2021 09:05:23 GMT-0600 (Central Standard Time)
correct 	5.3secs 	What is 8 * 9? 	== 	72 	RunAve=runAve: 6/6 100% 	Mon Jan 11 2021 09:05:41 GMT-0600 (Central Standard Time)
correct 	4.5secs 	What is 48 / 6? 	== 	8 	RunAve=runAve: 7/7 100% 	Mon Jan 11 2021 09:06:00 GMT-0600 (Central Standard Time)
correct 	4.8secs 	What is 6 + 2? 	== 	8 	RunAve=runAve: 8/8 100% 	Mon Jan 11 2021 09:06:21 GMT-0600 (Central Standard Time)
correct 	5.5secs 	What is 0 + 12? 	== 	12 	RunAve=runAve: 9/9 100% 	Mon Jan 11 2021 09:06:42 GMT-0600 (Central Standard Time)
correct 	3.8secs 	What is 3 * 3? 	== 	9 	RunAve=runAve: 10/10 100% 	Mon Jan 11 2021 09:07:00 GMT-0600 (Central Standard Time)
correct 	6.1secs 	What is 8 - 10? 	== 	-2 	RunAve=runAve: 11/11 100% 	Mon Jan 11 2021 09:07:22 GMT-0600 (Central Standard Time)
correct 	6.6secs 	What is 3 * -6? 	== 	-18 	RunAve=runAve: 12/12 100% 	Mon Jan 11 2021 09:07:43 GMT-0600 (Central Standard Time)
correct 	6.1secs 	What is 5 * 8? 	== 	40 	RunAve=runAve: 12/12 100% 	Mon Jan 11 2021 09:08:02 GMT-0600 (Central Standard Time)
correct 	4.6secs 	What is 10 - 5? 	== 	5 	RunAve=runAve: 11/11 100% 	Mon Jan 11 2021 09:08:21 GMT-0600 (Central Standard Time)
correct 	6.8secs 	What is 8 * 4? 	== 	32 	RunAve=runAve: 10/10 100% 	Mon Jan 11 2021 09:08:43 GMT-0600 (Central Standard Time)
correct 	5.2secs 	What is 10 + 10? 	== 	20 	RunAve=runAve: 9/9 100% 	Mon Jan 11 2021 09:09:01 GMT-0600 (Central Standard Time)
wrong 	7.6secs 	What is -9 + 2? 	!= 	-11 	RunAve=runAve: 7/8 87% 	Mon Jan 11 2021 09:09:24 GMT-0600 (Central Standard Time)
correct 	32.9secs 	What is -9 + 0? 	== 	-9 	RunAve=runAve: 6/7 85% 	Mon Jan 11 2021 09:10:09 GMT-0600 (Central Standard Time)
correct 	5.3secs 	What is -9 + 2? 	== 	-7 	RunAve=runAve: 5/6 83% 	Mon Jan 11 2021 09:10:21 GMT-0600 (Central Standard Time)
correct 	8.0secs 	What is 2 - 6? 	== 	-4 	RunAve=runAve: 4/5 80% 	Mon Jan 11 2021 09:10:44 GMT-0600 (Central Standard Time)
correct 	5.2secs 	What is 10 / 1? 	== 	10 	RunAve=runAve: 4/4 100% 	Mon Jan 11 2021 09:11:01 GMT-0600 (Central Standard Time)
correct 	2.9secs 	What is 0 * 12? 	== 	0 	RunAve=runAve: 3/3 100% 	Mon Jan 11 2021 09:11:19 GMT-0600 (Central Standard Time)
correct 	4.5secs 	What is 6 * 0? 	== 	0 	RunAve=runAve: 2/2 100% 	Mon Jan 11 2021 09:11:41 GMT-0600 (Central Standard Time)
correct 	3.5secs 	What is 9 * 5? 	== 	45 	RunAve=runAve: 1/1 100% 	Mon Jan 11 2021 09:12:00 GMT-0600 (Central Standard Time)
correct 	4.9secs 	What is 5 * 4? 	== 	20 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:12:21 GMT-0600 (Central Standard Time)
correct 	6.1secs 	What is 4 * 6? 	== 	24 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:12:42 GMT-0600 (Central Standard Time)
correct 	5.4secs 	What is 60 / 6? 	== 	10 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:13:02 GMT-0600 (Central Standard Time)
correct 	5.5secs 	What is -11 * 8? 	== 	-88 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:13:22 GMT-0600 (Central Standard Time)
correct 	12.7secs 	What is 3 - 4? 	== 	-1 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:13:49 GMT-0600 (Central Standard Time)
correct 	7.6secs 	What is 11 * 12? 	== 	132 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:14:04 GMT-0600 (Central Standard Time)
correct 	4.3secs 	What is 1 + 12? 	== 	13 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:14:21 GMT-0600 (Central Standard Time)
correct 	8.4secs 	What is 5 + 6? 	== 	11 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:14:45 GMT-0600 (Central Standard Time)
correct 	12.9secs 	What is 2 * -3? 	== 	-6 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:15:09 GMT-0600 (Central Standard Time)
correct 	0.3secs 	What is 12 + 9? 	== 	21 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:15:17 GMT-0600 (Central Standard Time)
correct 	3.6secs 	What is 1 * 0? 	== 	0 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:16:20 GMT-0600 (Central Standard Time)
correct 	11.1secs 	What is 6 * 2? 	== 	12 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:16:47 GMT-0600 (Central Standard Time)
correct 	8.0secs 	What is -49 / 7? 	== 	-7 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:17:04 GMT-0600 (Central Standard Time)
correct 	7.1secs 	What is 11 * 0? 	== 	0 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:17:24 GMT-0600 (Central Standard Time)
correct 	7.4secs 	What is 4 * 12? 	== 	48 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:17:44 GMT-0600 (Central Standard Time)
correct 	5.2secs 	What is 6 - 0? 	== 	6 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:18:02 GMT-0600 (Central Standard Time)
correct 	35.3secs 	What is -6 - 7? 	== 	-13 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:18:52 GMT-0600 (Central Standard Time)
correct 	7.2secs 	What is 3 * 9? 	== 	27 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:19:04 GMT-0600 (Central Standard Time)
correct 	5.3secs 	What is 12 * 12? 	== 	144 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:19:22 GMT-0600 (Central Standard Time)
correct 	2.8secs 	What is 1 * 1? 	== 	1 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:19:39 GMT-0600 (Central Standard Time)
correct 	9.4secs 	What is -12 * 8? 	== 	-96 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:20:06 GMT-0600 (Central Standard Time)
correct 	2.5secs 	What is 1 * 12? 	== 	12 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:20:19 GMT-0600 (Central Standard Time)
correct 	107.5secs 	What is 7 + -12? 	== 	-5 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:22:24 GMT-0600 (Central Standard Time)
correct 	4.9secs 	What is 2 * 1? 	== 	2 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:22:34 GMT-0600 (Central Standard Time)
correct 	10.2secs 	What is 7 * 5? 	== 	35 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:23:00 GMT-0600 (Central Standard Time)
correct 	6.1secs 	What is 12 * 3? 	== 	36 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:23:16 GMT-0600 (Central Standard Time)
correct 	3.2secs 	What is 7 * 10? 	== 	70 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:23:33 GMT-0600 (Central Standard Time)
correct 	16.6secs 	What is 4 * 7? 	== 	28 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:24:20 GMT-0600 (Central Standard Time)
correct 	5.7secs 	What is 10 + 7? 	== 	17 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:24:29 GMT-0600 (Central Standard Time)
correct 	15.7secs 	What is 11 * 11? 	== 	121 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:24:59 GMT-0600 (Central Standard Time)
correct 	6.6secs 	What is 2 + 9? 	== 	11 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:25:30 GMT-0600 (Central Standard Time)
correct 	7.3secs 	What is 3 * 8? 	== 	24 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:25:50 GMT-0600 (Central Standard Time)
correct 	5.9secs 	What is 72 / 9? 	== 	8 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:26:09 GMT-0600 (Central Standard Time)
correct 	8.6secs 	What is 9 - 8? 	== 	1 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:26:32 GMT-0600 (Central Standard Time)
correct 	11.7secs 	What is 12 * 11? 	== 	132 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:26:55 GMT-0600 (Central Standard Time)
correct 	8.0secs 	What is 3 - -3? 	== 	6 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:27:11 GMT-0600 (Central Standard Time)
correct 	2.8secs 	What is 10 * 7? 	== 	70 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:27:26 GMT-0600 (Central Standard Time)
correct 	4.1secs 	What is 10 * 2? 	== 	20 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:27:47 GMT-0600 (Central Standard Time)
correct 	4.0secs 	What is 11 - -8? 	== 	19 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:28:07 GMT-0600 (Central Standard Time)
correct 	4.0secs 	What is 4 * 11? 	== 	44 	RunAve=runAve: 25/25 100% 	Mon Jan 11 2021 09:28:27 GMT-0600 (Central Standard Time)
wrong 	0.3secs 	What is 9 + 5? 	!= 	11 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:28:44 GMT-0600 (Central Standard Time)
correct 	11.2secs 	What is 9 + 3? 	== 	12 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:29:15 GMT-0600 (Central Standard Time)
correct 	31.7secs 	What is 9 + 4? 	== 	13 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:29:55 GMT-0600 (Central Standard Time)
correct 	3.1secs 	What is 9 + 3? 	== 	12 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:30:07 GMT-0600 (Central Standard Time)
correct 	15.0secs 	What is 9 + 4? 	== 	13 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:30:38 GMT-0600 (Central Standard Time)
correct 	4.5secs 	What is 9 + 5? 	== 	14 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:30:48 GMT-0600 (Central Standard Time)
correct 	15.4secs 	What is 3 + 4? 	== 	7 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:31:19 GMT-0600 (Central Standard Time)
correct 	6.3secs 	What is 4 + 2? 	== 	6 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:32:50 GMT-0600 (Central Standard Time)
correct 	4.9secs 	What is 4 - -12? 	== 	16 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:33:08 GMT-0600 (Central Standard Time)
correct 	22.8secs 	What is -2 * 1? 	== 	-2 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:33:46 GMT-0600 (Central Standard Time)
correct 	9.7secs 	What is -3 - 0? 	== 	-3 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:34:13 GMT-0600 (Central Standard Time)
correct 	7.1secs 	What is 10 + 1? 	== 	11 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:34:31 GMT-0600 (Central Standard Time)
correct 	18.2secs 	What is 3 * 6? 	== 	18 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:35:02 GMT-0600 (Central Standard Time)
correct 	7.6secs 	What is 9 - 0? 	== 	9 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:35:11 GMT-0600 (Central Standard Time)
correct 	8.1secs 	What is 7 * 11? 	== 	77 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:35:32 GMT-0600 (Central Standard Time)
correct 	6.1secs 	What is 12 * -11? 	== 	-132 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:35:50 GMT-0600 (Central Standard Time)
correct 	3.1secs 	What is 1 * 5? 	== 	5 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:36:07 GMT-0600 (Central Standard Time)
correct 	5.2secs 	What is 1 * 4? 	== 	4 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:36:29 GMT-0600 (Central Standard Time)
correct 	5.8secs 	What is 5 - 4? 	== 	1 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:36:49 GMT-0600 (Central Standard Time)
correct 	0.3secs 	What is 1 + 8? 	== 	9 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:37:04 GMT-0600 (Central Standard Time)
correct 	11.0secs 	What is 90 / 10? 	== 	9 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:37:35 GMT-0600 (Central Standard Time)
correct 	3.1secs 	What is 0 + 9? 	== 	9 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:37:47 GMT-0600 (Central Standard Time)
correct 	6.1secs 	What is 2 * 4? 	== 	8 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:38:10 GMT-0600 (Central Standard Time)
correct 	35.8secs 	What is -2 + 7? 	== 	5 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:39:00 GMT-0600 (Central Standard Time)
correct 	12.0secs 	What is 3 * 3? 	== 	9 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:39:16 GMT-0600 (Central Standard Time)
wrong 	9.0secs 	What is 0 - 1? 	!= 	1 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:39:33 GMT-0600 (Central Standard Time)
correct 	8.5secs 	What is 0 - -1? 	== 	1 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:39:52 GMT-0600 (Central Standard Time)
correct 	2.3secs 	What is 0 - 0? 	== 	0 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:40:06 GMT-0600 (Central Standard Time)
correct 	17.1secs 	What is 0 - 1? 	== 	-1 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:40:41 GMT-0600 (Central Standard Time)
correct 	7.0secs 	What is 3 * 2? 	== 	6 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:40:51 GMT-0600 (Central Standard Time)
correct 	11.6secs 	What is -16 / -8? 	== 	2 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:41:15 GMT-0600 (Central Standard Time)
correct 	4.4secs 	What is 20 / 2? 	== 	10 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:41:28 GMT-0600 (Central Standard Time)
correct 	17.1secs 	What is 5 - 10? 	== 	-5 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:42:01 GMT-0600 (Central Standard Time)
correct 	4.8secs 	What is 2 * 4? 	== 	8 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:42:09 GMT-0600 (Central Standard Time)
wrong 	0.3secs 	What is 5 + 4? 	!= 	7 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:42:24 GMT-0600 (Central Standard Time)
correct 	14.2secs 	What is 5 + 2? 	== 	7 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:42:58 GMT-0600 (Central Standard Time)
correct 	13.7secs 	What is 5 + 3? 	== 	8 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:43:18 GMT-0600 (Central Standard Time)
correct 	15.7secs 	What is 5 + 4? 	== 	9 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:43:40 GMT-0600 (Central Standard Time)
correct 	4.0secs 	What is 3 * 2? 	== 	6 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:43:48 GMT-0600 (Central Standard Time)
correct 	2.7secs 	What is 11 * 12? 	== 	132 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:44:07 GMT-0600 (Central Standard Time)
correct 	2.5secs 	What is 0 * 8? 	== 	0 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:44:26 GMT-0600 (Central Standard Time)
correct 	3.7secs 	What is 5 + 11? 	== 	16 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:44:48 GMT-0600 (Central Standard Time)
correct 	6.5secs 	What is 3 * 4? 	== 	12 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:45:10 GMT-0600 (Central Standard Time)
correct 	10.5secs 	What is -7 * 0? 	== 	0 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:45:35 GMT-0600 (Central Standard Time)
correct 	4.6secs 	What is 6 * 1? 	== 	6 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:45:49 GMT-0600 (Central Standard Time)
correct 	53.5secs 	What is 6 + 8? 	== 	14 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:46:57 GMT-0600 (Central Standard Time)
correct 	35.7secs 	What is 7 / 1? 	== 	7 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:47:40 GMT-0600 (Central Standard Time)
correct 	6.3secs 	What is 2 - 1? 	== 	1 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:47:50 GMT-0600 (Central Standard Time)
correct 	9.7secs 	What is 0 * 2? 	== 	0 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:48:14 GMT-0600 (Central Standard Time)
correct 	6.5secs 	What is 10 * 8? 	== 	80 	RunAve=runAve: 23/25 92% 	Mon Jan 11 2021 09:48:31 GMT-0600 (Central Standard Time)
correct 	11.3secs 	What is 5 * 8? 	== 	40 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:48:55 GMT-0600 (Central Standard Time)
correct 	19.2secs 	What is 2 * 1? 	== 	2 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:49:23 GMT-0600 (Central Standard Time)
correct 	2.5secs 	What is 12 * 8? 	== 	96 	RunAve=runAve: 24/25 96% 	Mon Jan 11 2021 09:49:27 GMT-0600 (Central Standard Time)
