correct 	math 	11.0secs 	12 * 4 	What is 12 * 4? 	== 	48 	RunAve=runAve math: 1/1 100% 11.0secs 	Sat Jan 16 2021 10:18:46 GMT-0600 (Central Standard Time)
correct 	math 	2.3secs 	-3 * 5 	What is -3 * 5? 	== 	-15 	RunAve=runAve math: 15/15 100% 3.9secs 	Sat Jan 16 2021 10:23:18 GMT-0600 (Central Standard Time)
correct 	math 	16.5secs 	11 * 10 	What is 11 * 10? 	== 	110 	RunAve=runAve math: 16/16 100% 4.7secs 	Sat Jan 16 2021 10:24:32 GMT-0600 (Central Standard Time)
correct 	math 	23.4secs 	2 * 4 	What is 2 * 4? 	== 	8 	RunAve=runAve math: 17/17 100% 5.8secs 	Sat Jan 16 2021 10:26:19 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	0 * 1 	What is 0 * 1? 	== 	0 	RunAve=runAve math: 18/18 100% 5.5secs 	Sat Jan 16 2021 10:26:38 GMT-0600 (Central Standard Time)
correct 	math 	14.8secs 	4 * -7 	What is 4 * -7? 	== 	-28 	RunAve=runAve math: 19/19 100% 6.0secs 	Sat Jan 16 2021 10:27:11 GMT-0600 (Central Standard Time)
correct 	math 	1.0secs 	0 * 3 	What is 0 * 3? 	== 	0 	RunAve=runAve math: 20/20 100% 5.8secs 	Sat Jan 16 2021 10:27:17 GMT-0600 (Central Standard Time)
correct 	math 	3.8secs 	8 * 6 	What is 8 * 6? 	== 	48 	RunAve=runAve math: 21/21 100% 5.7secs 	Sat Jan 16 2021 10:27:40 GMT-0600 (Central Standard Time)
correct 	math 	23.3secs 	5 * 3 	What is 5 * 3? 	== 	15 	RunAve=runAve math: 22/22 100% 6.5secs 	Sat Jan 16 2021 10:28:19 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	4 * 1 	What is 4 * 1? 	== 	4 	RunAve=runAve math: 23/23 100% 6.3secs 	Sat Jan 16 2021 10:28:37 GMT-0600 (Central Standard Time)
correct 	math 	2.5secs 	8 * 6 	What is 8 * 6? 	== 	48 	RunAve=runAve math: 24/24 100% 6.1secs 	Sat Jan 16 2021 10:28:58 GMT-0600 (Central Standard Time)
correct 	math 	4.8secs 	9 * 8 	What is 9 * 8? 	== 	72 	RunAve=runAve math: 25/25 100% 6.1secs 	Sat Jan 16 2021 10:29:21 GMT-0600 (Central Standard Time)
correct 	math 	3.8secs 	12 * 4 	What is 12 * 4? 	== 	48 	RunAve=runAve math: 25/25 100% 5.8secs 	Sat Jan 16 2021 10:29:40 GMT-0600 (Central Standard Time)
correct 	math 	4.5secs 	12 * 0 	What is 12 * 0? 	== 	0 	RunAve=runAve math: 25/25 100% 5.9secs 	Sat Jan 16 2021 10:30:00 GMT-0600 (Central Standard Time)
correct 	math 	3.8secs 	4 * 8 	What is 4 * 8? 	== 	32 	RunAve=runAve math: 25/25 100% 5.9secs 	Sat Jan 16 2021 10:30:20 GMT-0600 (Central Standard Time)
correct 	math 	2.6secs 	5 * 5 	What is 5 * 5? 	== 	25 	RunAve=runAve math: 25/25 100% 5.9secs 	Sat Jan 16 2021 10:30:38 GMT-0600 (Central Standard Time)
correct 	math 	4.3secs 	8 * 6 	What is 8 * 6? 	== 	48 	RunAve=runAve math: 25/25 100% 5.7secs 	Sat Jan 16 2021 10:31:00 GMT-0600 (Central Standard Time)
correct 	math 	28.4secs 	-1 * 6 	What is -1 * 6? 	== 	-6 	RunAve=runAve math: 25/25 100% 6.8secs 	Sat Jan 16 2021 10:31:44 GMT-0600 (Central Standard Time)
correct 	math 	10.8secs 	2 * 4 	What is 2 * 4? 	== 	8 	RunAve=runAve math: 25/25 100% 7.2secs 	Sat Jan 16 2021 10:32:07 GMT-0600 (Central Standard Time)
correct 	math 	3.3secs 	10 * 2 	What is 10 * 2? 	== 	20 	RunAve=runAve math: 25/25 100% 7.2secs 	Sat Jan 16 2021 10:32:19 GMT-0600 (Central Standard Time)
correct 	math 	2.3secs 	4 * 0 	What is 4 * 0? 	== 	0 	RunAve=runAve math: 25/25 100% 7.2secs 	Sat Jan 16 2021 10:32:38 GMT-0600 (Central Standard Time)
correct 	math 	4.9secs 	3 * 4 	What is 3 * 4? 	== 	12 	RunAve=runAve math: 25/25 100% 7.3secs 	Sat Jan 16 2021 10:33:01 GMT-0600 (Central Standard Time)
correct 	math 	5.3secs 	6 * 12 	What is 6 * 12? 	== 	72 	RunAve=runAve math: 25/25 100% 7.2secs 	Sat Jan 16 2021 10:33:21 GMT-0600 (Central Standard Time)
correct 	math 	11.6secs 	9 * 6 	What is 9 * 6? 	== 	54 	RunAve=runAve math: 25/25 100% 7.5secs 	Sat Jan 16 2021 10:33:48 GMT-0600 (Central Standard Time)
correct 	math 	1.2secs 	0 * 0 	What is 0 * 0? 	== 	0 	RunAve=runAve math: 25/25 100% 7.4secs 	Sat Jan 16 2021 10:33:57 GMT-0600 (Central Standard Time)
correct 	math 	4.6secs 	11 * 10 	What is 11 * 10? 	== 	110 	RunAve=runAve math: 25/25 100% 7.5secs 	Sat Jan 16 2021 10:34:21 GMT-0600 (Central Standard Time)
correct 	math 	11.7secs 	9 * -3 	What is 9 * -3? 	== 	-27 	RunAve=runAve math: 25/25 100% 7.9secs 	Sat Jan 16 2021 10:34:48 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	8 * 7 	What is 8 * 7? 	== 	56 	RunAve=runAve math: 25/25 100% 7.3secs 	Sat Jan 16 2021 10:35:58 GMT-0600 (Central Standard Time)
correct 	math 	13.6secs 	4 * 3 	What is 4 * 3? 	== 	12 	RunAve=runAve math: 25/25 100% 6.9secs 	Sat Jan 16 2021 10:36:30 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	0 * 1 	What is 0 * 1? 	== 	0 	RunAve=runAve math: 25/25 100% 6.9secs 	Sat Jan 16 2021 10:36:38 GMT-0600 (Central Standard Time)
correct 	math 	2.5secs 	7 * 11 	What is 7 * 11? 	== 	77 	RunAve=runAve math: 25/25 100% 6.4secs 	Sat Jan 16 2021 10:36:59 GMT-0600 (Central Standard Time)
correct 	math 	2.2secs 	12 * 0 	What is 12 * 0? 	== 	0 	RunAve=runAve math: 25/25 100% 6.4secs 	Sat Jan 16 2021 10:37:37 GMT-0600 (Central Standard Time)
correct 	math 	3.2secs 	-2 * 10 	What is -2 * 10? 	== 	-20 	RunAve=runAve math: 25/25 100% 6.4secs 	Sat Jan 16 2021 10:37:58 GMT-0600 (Central Standard Time)
correct 	math 	12.1secs 	7 * 4 	What is 7 * 4? 	== 	28 	RunAve=runAve math: 25/25 100% 6.0secs 	Sat Jan 16 2021 10:38:38 GMT-0600 (Central Standard Time)
correct 	math 	2.6secs 	7 * 4 	What is 7 * 4? 	== 	28 	RunAve=runAve math: 25/25 100% 6.0secs 	Sat Jan 16 2021 10:38:48 GMT-0600 (Central Standard Time)
correct 	math 	4.0secs 	9 * 3 	What is 9 * 3? 	== 	27 	RunAve=runAve math: 25/25 100% 6.1secs 	Sat Jan 16 2021 10:39:10 GMT-0600 (Central Standard Time)
correct 	math 	2.2secs 	9 * 5 	What is 9 * 5? 	== 	45 	RunAve=runAve math: 25/25 100% 6.0secs 	Sat Jan 16 2021 10:39:28 GMT-0600 (Central Standard Time)
correct 	math 	3.2secs 	5 * 9 	What is 5 * 9? 	== 	45 	RunAve=runAve math: 25/25 100% 5.9secs 	Sat Jan 16 2021 10:39:49 GMT-0600 (Central Standard Time)
correct 	math 	4.7secs 	-7 * 6 	What is -7 * 6? 	== 	-42 	RunAve=runAve math: 25/25 100% 6.0secs 	Sat Jan 16 2021 10:40:10 GMT-0600 (Central Standard Time)
correct 	math 	5.8secs 	8 * 6 	What is 8 * 6? 	== 	48 	RunAve=runAve math: 25/25 100% 6.0secs 	Sat Jan 16 2021 10:40:31 GMT-0600 (Central Standard Time)
correct 	math 	2.2secs 	2 * 10 	What is 2 * 10? 	== 	20 	RunAve=runAve math: 25/25 100% 6.0secs 	Sat Jan 16 2021 10:40:48 GMT-0600 (Central Standard Time)
wrong 	math 	5.8secs 	6 * 12 	What is 6 * 12? 	!= 	84 	RunAve=runAve math: 24/25 96% 6.1secs 	Sat Jan 16 2021 10:41:11 GMT-0600 (Central Standard Time)
correct 	math 	8.3secs 	6 * 10 	What is 6 * 10? 	== 	60 	RunAve=runAve math: 24/25 96% 5.3secs 	Sat Jan 16 2021 10:41:34 GMT-0600 (Central Standard Time)
correct 	math 	10.4secs 	6 * 11 	What is 6 * 11? 	== 	66 	RunAve=runAve math: 24/25 96% 5.3secs 	Sat Jan 16 2021 10:41:56 GMT-0600 (Central Standard Time)
correct 	spelling 	4.1secs 	gust: 	g___ 	== 	_ust 	RunAve=runAve spelling: 1/1 100% 4.1secs 	Sat Jan 16 2021 17:09:54 GMT-0600 (Central Standard Time)
wrong 	spelling 	1.8secs 	still: 	s____ 	!= 	_illl 	RunAve=runAve spelling: 1/2 50% 3.0secs 	Sat Jan 16 2021 17:10:24 GMT-0600 (Central Standard Time)
correct 	spelling 	7.0secs 	remote: 	rem___ 	== 	___ote 	RunAve=runAve spelling: 2/3 66% 4.3secs 	Sat Jan 16 2021 17:10:49 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	still:4 	stil_ 	== 	____l 	RunAve=runAve spelling: 3/4 75% 3.8secs 	Sat Jan 16 2021 17:11:05 GMT-0600 (Central Standard Time)
correct 	spelling 	4.2secs 	will: 	w___ 	== 	_ill 	RunAve=runAve spelling: 4/5 80% 3.9secs 	Sat Jan 16 2021 17:11:47 GMT-0600 (Central Standard Time)
correct 	spelling 	2.9secs 	spill: 	s____ 	== 	_pill 	RunAve=runAve spelling: 5/6 83% 3.7secs 	Sat Jan 16 2021 17:12:05 GMT-0600 (Central Standard Time)
correct 	spelling 	7.3secs 	still: 	s____ 	== 	_till 	RunAve=runAve spelling: 6/7 85% 4.3secs 	Sat Jan 16 2021 17:12:30 GMT-0600 (Central Standard Time)
correct 	spelling 	5.5secs 	duplicate: 	dupl_____ 	== 	____icate 	RunAve=runAve spelling: 7/8 87% 4.4secs 	Sat Jan 16 2021 17:12:53 GMT-0600 (Central Standard Time)
correct 	spelling 	4.2secs 	quicksand: 	q________ 	== 	_uicksand 	RunAve=runAve spelling: 8/9 88% 4.4secs 	Sat Jan 16 2021 17:13:12 GMT-0600 (Central Standard Time)
correct 	spelling 	4.0secs 	drill: 	dr___ 	== 	__ill 	RunAve=runAve spelling: 9/10 90% 4.3secs 	Sat Jan 16 2021 17:13:38 GMT-0600 (Central Standard Time)
correct 	spelling 	5.5secs 	flat: 	f___ 	== 	_lat 	RunAve=runAve spelling: 10/11 90% 4.4secs 	Sat Jan 16 2021 17:13:59 GMT-0600 (Central Standard Time)
correct 	spelling 	17.0secs 	dominant: 	do______ 	== 	__minant 	RunAve=runAve spelling: 11/12 91% 5.5secs 	Sat Jan 16 2021 17:14:31 GMT-0600 (Central Standard Time)
correct 	spelling 	4.6secs 	west: 	w___ 	== 	_est 	RunAve=runAve spelling: 12/13 92% 5.4secs 	Sat Jan 16 2021 17:14:38 GMT-0600 (Central Standard Time)
correct 	spelling 	4.9secs 	seal: 	s___ 	== 	_eal 	RunAve=runAve spelling: 13/14 92% 5.4secs 	Sat Jan 16 2021 17:14:59 GMT-0600 (Central Standard Time)
correct 	spelling 	3.5secs 	baby: 	b___ 	== 	_aby 	RunAve=runAve spelling: 14/15 93% 5.3secs 	Sat Jan 16 2021 17:15:17 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	trap: 	t___ 	== 	_rap 	RunAve=runAve spelling: 15/16 93% 5.1secs 	Sat Jan 16 2021 17:15:56 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	lime: 	l___ 	== 	_ime 	RunAve=runAve spelling: 16/17 94% 4.9secs 	Sat Jan 16 2021 17:16:15 GMT-0600 (Central Standard Time)
wrong 	spelling 	2.7secs 	canal: 	c____ 	!= 	_anil 	RunAve=runAve spelling: 16/18 88% 4.8secs 	Sat Jan 16 2021 17:16:36 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	canal:4 	cana_ 	== 	____l 	RunAve=runAve spelling: 17/19 89% 4.6secs 	Sat Jan 16 2021 17:16:55 GMT-0600 (Central Standard Time)
wrong 	spelling 	13.3secs 	canal: 	c____ 	!= 	_anel 	RunAve=runAve spelling: 17/20 85% 5.0secs 	Sat Jan 16 2021 17:17:27 GMT-0600 (Central Standard Time)
wrong 	spelling 	4.0secs 	banana: 	b_____ 	!= 	null 	RunAve=runAve spelling: 17/21 80% 5.0secs 	Sat Jan 16 2021 17:17:38 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	canal:4 	cana_ 	== 	____l 	RunAve=runAve spelling: 18/22 81% 4.8secs 	Sat Jan 16 2021 17:17:55 GMT-0600 (Central Standard Time)
wrong 	spelling 	4.4secs 	canal: 	c____ 	!= 	_unal 	RunAve=runAve spelling: 18/23 78% 4.8secs 	Sat Jan 16 2021 17:18:18 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	banana: 	ba____ 	== 	__nana 	RunAve=runAve spelling: 19/24 79% 4.7secs 	Sat Jan 16 2021 17:18:36 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	canal:4 	cana_ 	== 	____l 	RunAve=runAve spelling: 20/25 80% 4.6secs 	Sat Jan 16 2021 17:18:55 GMT-0600 (Central Standard Time)
correct 	spelling 	6.2secs 	canal: 	ca___ 	== 	__nal 	RunAve=runAve spelling: 20/25 80% 4.6secs 	Sat Jan 16 2021 17:19:20 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	banana: 	b_____ 	== 	_anana 	RunAve=runAve spelling: 21/25 84% 4.7secs 	Sat Jan 16 2021 17:19:37 GMT-0600 (Central Standard Time)
correct 	spelling 	3.3secs 	rumble: 	ru____ 	== 	__mble 	RunAve=runAve spelling: 21/25 84% 4.5secs 	Sat Jan 16 2021 17:19:57 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	clog: 	c___ 	== 	_log 	RunAve=runAve spelling: 21/25 84% 4.5secs 	Sat Jan 16 2021 17:20:15 GMT-0600 (Central Standard Time)
correct 	spelling 	5.2secs 	waft: 	w___ 	== 	_aft 	RunAve=runAve spelling: 21/25 84% 4.6secs 	Sat Jan 16 2021 17:20:39 GMT-0600 (Central Standard Time)
correct 	spelling 	0.2secs 	sable: 	sa___ 	== 	__ble 	RunAve=runAve spelling: 21/25 84% 4.5secs 	Sat Jan 16 2021 17:20:54 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	duck: 	d___ 	== 	_uck 	RunAve=runAve spelling: 21/25 84% 4.3secs 	Sat Jan 16 2021 17:21:16 GMT-0600 (Central Standard Time)
correct 	spelling 	2.9secs 	density: 	d______ 	== 	_ensity 	RunAve=runAve spelling: 21/25 84% 4.1secs 	Sat Jan 16 2021 17:21:37 GMT-0600 (Central Standard Time)
correct 	spelling 	3.3secs 	entry: 	e____ 	== 	_ntry 	RunAve=runAve spelling: 21/25 84% 4.1secs 	Sat Jan 16 2021 17:21:57 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	shrimp: 	s_____ 	== 	_hrimp 	RunAve=runAve spelling: 21/25 84% 4.1secs 	Sat Jan 16 2021 17:22:16 GMT-0600 (Central Standard Time)
correct 	spelling 	9.2secs 	chart: 	c____ 	== 	_hart 	RunAve=runAve spelling: 21/25 84% 4.2secs 	Sat Jan 16 2021 17:22:43 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	sling: 	s____ 	== 	_ling 	RunAve=runAve spelling: 21/25 84% 3.6secs 	Sat Jan 16 2021 17:22:56 GMT-0600 (Central Standard Time)
wrong 	spelling 	5.3secs 	broth: 	br___ 	!= 	__eth 	RunAve=runAve spelling: 20/25 80% 3.6secs 	Sat Jan 16 2021 17:23:19 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	broth:4 	brot_ 	== 	____h 	RunAve=runAve spelling: 20/25 80% 3.5secs 	Sat Jan 16 2021 17:23:35 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	broth: 	br___ 	== 	__oth 	RunAve=runAve spelling: 20/25 80% 3.5secs 	Sat Jan 16 2021 17:23:57 GMT-0600 (Central Standard Time)
correct 	spelling 	3.5secs 	froth: 	f____ 	== 	_roth 	RunAve=runAve spelling: 20/25 80% 3.5secs 	Sat Jan 16 2021 17:24:17 GMT-0600 (Central Standard Time)
correct 	spelling 	4.5secs 	throng: 	t_____ 	== 	_hrong 	RunAve=runAve spelling: 20/25 80% 3.6secs 	Sat Jan 16 2021 17:24:38 GMT-0600 (Central Standard Time)
correct 	spelling 	8.5secs 	prong: 	pr___ 	== 	__ong 	RunAve=runAve spelling: 21/25 84% 3.9secs 	Sat Jan 16 2021 17:25:02 GMT-0600 (Central Standard Time)
correct 	spelling 	5.5secs 	outfit: 	o_____ 	== 	_utfit 	RunAve=runAve spelling: 21/25 84% 4.0secs 	Sat Jan 16 2021 17:25:19 GMT-0600 (Central Standard Time)
correct 	spelling 	3.4secs 	bucket: 	b_____ 	== 	_ucket 	RunAve=runAve spelling: 22/25 88% 3.6secs 	Sat Jan 16 2021 17:25:37 GMT-0600 (Central Standard Time)
correct 	spelling 	4.0secs 	inflict: 	i______ 	== 	_nflict 	RunAve=runAve spelling: 23/25 92% 3.6secs 	Sat Jan 16 2021 17:25:58 GMT-0600 (Central Standard Time)
wrong 	spelling 	7.7secs 	banker: 	ban___ 	!= 	___err 	RunAve=runAve spelling: 22/25 88% 3.9secs 	Sat Jan 16 2021 17:26:22 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	banker:5 	banke_ 	== 	_____r 	RunAve=runAve spelling: 23/25 92% 3.8secs 	Sat Jan 16 2021 17:26:36 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	trunk: 	t____ 	== 	_runk 	RunAve=runAve spelling: 23/25 92% 3.7secs 	Sat Jan 16 2021 17:26:55 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	sunk: 	s___ 	== 	_unk 	RunAve=runAve spelling: 23/25 92% 3.7secs 	Sat Jan 16 2021 17:27:16 GMT-0600 (Central Standard Time)
correct 	spelling 	5.6secs 	shrunk: 	shr___ 	== 	___unk 	RunAve=runAve spelling: 23/25 92% 3.7secs 	Sat Jan 16 2021 17:27:40 GMT-0600 (Central Standard Time)
correct 	spelling 	11.6secs 	banker: 	b_____ 	== 	_anker 	RunAve=runAve spelling: 23/25 92% 4.1secs 	Sat Jan 16 2021 17:28:06 GMT-0600 (Central Standard Time)
correct 	spelling 	4.4secs 	density: 	dens___ 	== 	____ity 	RunAve=runAve spelling: 23/25 92% 4.1secs 	Sat Jan 16 2021 17:28:19 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	sand: 	s___ 	== 	_and 	RunAve=runAve spelling: 23/25 92% 4.1secs 	Sat Jan 16 2021 17:28:56 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	chat: 	c___ 	== 	_hat 	RunAve=runAve spelling: 23/25 92% 4.0secs 	Sat Jan 16 2021 17:29:36 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	seed: 	s___ 	== 	_eed 	RunAve=runAve spelling: 23/25 92% 4.1secs 	Sat Jan 16 2021 17:30:57 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	foolish: 	foo____ 	== 	___lish 	RunAve=runAve spelling: 23/25 92% 4.1secs 	Sat Jan 16 2021 17:31:17 GMT-0600 (Central Standard Time)
correct 	spelling 	5.6secs 	tore: 	t___ 	== 	_ore 	RunAve=runAve spelling: 23/25 92% 4.2secs 	Sat Jan 16 2021 17:31:40 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	bond: 	b___ 	== 	_ond 	RunAve=runAve spelling: 23/25 92% 4.2secs 	Sat Jan 16 2021 17:31:56 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	harsh: 	h____ 	== 	_arsh 	RunAve=runAve spelling: 23/25 92% 4.2secs 	Sat Jan 16 2021 17:32:17 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	then: 	t___ 	== 	_hen 	RunAve=runAve spelling: 23/25 92% 3.9secs 	Sat Jan 16 2021 17:32:37 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	chin: 	c___ 	== 	_hin 	RunAve=runAve spelling: 23/25 92% 3.9secs 	Sat Jan 16 2021 17:32:57 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	raven: 	r____ 	== 	_aven 	RunAve=runAve spelling: 24/25 96% 3.8secs 	Sat Jan 16 2021 17:33:16 GMT-0600 (Central Standard Time)
wrong 	spelling 	0.7secs 	barn: 	b___ 	!= 	_ern 	RunAve=runAve spelling: 23/25 92% 3.8secs 	Sat Jan 16 2021 17:33:55 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	barn:3 	bar_ 	== 	___n 	RunAve=runAve spelling: 23/25 92% 3.7secs 	Sat Jan 16 2021 17:34:16 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	barb: 	b___ 	== 	_arb 	RunAve=runAve spelling: 23/25 92% 3.7secs 	Sat Jan 16 2021 17:34:36 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	barber: 	b_____ 	== 	_arber 	RunAve=runAve spelling: 23/25 92% 3.6secs 	Sat Jan 16 2021 17:34:56 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	barn: 	b___ 	== 	_arn 	RunAve=runAve spelling: 23/25 92% 3.3secs 	Sat Jan 16 2021 17:35:17 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	far: 	f__ 	== 	_ar 	RunAve=runAve spelling: 23/25 92% 3.2secs 	Sat Jan 16 2021 17:35:36 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	wife: 	w___ 	== 	_ife 	RunAve=runAve spelling: 23/25 92% 3.1secs 	Sat Jan 16 2021 17:35:56 GMT-0600 (Central Standard Time)
correct 	spelling 	4.9secs 	preach: 	pre___ 	== 	___ach 	RunAve=runAve spelling: 23/25 92% 3.2secs 	Sat Jan 16 2021 17:36:19 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	golf: 	g___ 	== 	_olf 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 17:36:36 GMT-0600 (Central Standard Time)
correct 	spelling 	1.1secs 	born: 	b___ 	== 	_orn 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 17:36:55 GMT-0600 (Central Standard Time)
correct 	spelling 	3.2secs 	became: 	be____ 	== 	__came 	RunAve=runAve spelling: 24/25 96% 3.0secs 	Sat Jan 16 2021 17:37:18 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	steam: 	s____ 	== 	_team 	RunAve=runAve spelling: 24/25 96% 3.0secs 	Sat Jan 16 2021 17:37:37 GMT-0600 (Central Standard Time)
correct 	spelling 	2.7secs 	bigot: 	b____ 	== 	_igot 	RunAve=runAve spelling: 24/25 96% 2.9secs 	Sat Jan 16 2021 17:37:57 GMT-0600 (Central Standard Time)
correct 	spelling 	2.7secs 	more: 	m___ 	== 	_ore 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sat Jan 16 2021 17:38:17 GMT-0600 (Central Standard Time)
correct 	spelling 	1.3secs 	wed: 	w__ 	== 	_ed 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sat Jan 16 2021 17:38:36 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	mad: 	m__ 	== 	_ad 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sat Jan 16 2021 17:38:56 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	label: 	la___ 	== 	__bel 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sat Jan 16 2021 17:39:17 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	card: 	c___ 	== 	_ard 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sat Jan 16 2021 17:39:36 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	bag: 	b__ 	== 	_ag 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sat Jan 16 2021 17:40:17 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	limber: 	lim___ 	== 	___ber 	RunAve=runAve spelling: 24/25 96% 2.2secs 	Sat Jan 16 2021 17:40:36 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	barn: 	b___ 	== 	_arn 	RunAve=runAve spelling: 24/25 96% 2.3secs 	Sat Jan 16 2021 17:40:56 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	golf: 	g___ 	== 	_olf 	RunAve=runAve spelling: 24/25 96% 2.2secs 	Sat Jan 16 2021 17:41:16 GMT-0600 (Central Standard Time)
